CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
434	10260	Adjuntas, PR Micro Area	2	172725734	1051790	      66.690	       0.406	 18.181560	 -66.758147                                                                                                  
220	10300	Adrian, MI Micro Area	2	1941350734	30688197	     749.560	      11.849	 41.896109	 -84.074350                                                                                                  
184	10420	Akron, OH Metro Area	1	2331619576	62018442	     900.243	      23.945	 41.146639	 -81.350110                                                                                                   
440	10540	Albany, OR Metro Area	1	5923493230	50497756	    2287.074	      19.497	 44.488898	-122.537208                                                                                                  
104	10580	Albany-Schenectady-Troy, NY Metro Area	1	7282139778	172580332	    2811.650	      66.634	 42.787920	 -73.942348                                                                                
172	10620	Albemarle, NC Micro Area	2	1023370455	25242751	     395.126	       9.746	 35.310449	 -80.254374                                                                                               
290	10700	Albertville, AL Micro Area	2	1465524098	148503229	     565.842	      57.337	 34.309564	 -86.321668                                                                                            
106	10740	Albuquerque, NM Metro Area	1	24037592015	37928099	    9280.967	      14.644	 35.116603	-106.456535                                                                                            
142	10760	Alexander City, AL Micro Area	2	1855779800	128809185	     716.521	      49.734	 32.863369	 -85.799553                                                                                         
204	10860	Alice, TX Micro Area	2	2240778098	8739522	     865.169	       3.374	 27.733516	 -98.090814                                                                                                    
408	10900	Allentown-Bethlehem-Easton, PA-NJ Metro Area	1	3762663530	58541458	    1452.773	      22.603	 40.789339	 -75.398158                                                                           
394	10940	Alma, MI Micro Area	2	1472309904	8154670	     568.462	       3.149	 43.292326	 -84.604690                                                                                                     
108	11100	Amarillo, TX Metro Area	1	13338876050	87047156	    5150.169	      33.609	 35.248005	-101.908670                                                                                               
218	11180	Ames, IA Metro Area	1	1483235262	2509634	     572.680	       0.969	 42.037538	 -93.466093                                                                                                     
104	11220	Amsterdam, NY Micro Area	2	1044067732	18598434	     403.117	       7.181	 42.900891	 -74.435357                                                                                               
258	11420	Angola, IN Micro Area	2	799725143	35458838	     308.776	      13.691	 41.643467	 -85.002405                                                                                                   
220	11460	Ann Arbor, MI Metro Area	1	1828428383	42628874	     705.960	      16.459	 42.252327	 -83.844634                                                                                               
